1/f,r0
5350.606274268353, 709.1644334611847
6814.800838158044, 893.9702722298243
8129.686087966875, 1056.3931190525982
9354.664654028093, 1206.2305095987813
10887.573611924883, 1390.6799107787701
12896.312700477683, 1682.7617931971636
14816.495691695549, 1927.7404239613606
15850.422554793098, 2063.9392140186483
17693.509571619157, 2305.465068386906
19604.026601255915, 2552.4388743574527
21312.253592460555, 2777.620873918835
23477.506226048892, 3060.9143572379944
25367.687220076077, 3308.4070157420956
27101.601835208603, 3537.2209830383363
28991.782829235795, 3794.5718396799184
30646.493937257328, 4016.6407240399894
31975.828475525595, 4189.418617712663
33365.36838237486, 4368.422741787956
35015.53064032582, 4581.498182233136
36873.602104443155, 4829.682644115304
38776.62691043429, 5074.675376775929
40709.620611007944, 5327.262223791262
42238.034234717365, 5519.756513738896
43631.58783280536, 5708.618835951667
44960.92237107363, 5875.170499221724
46583.523949185306, 6088.764792200453
48441.59541330262, 6330.895974524519
50361.10311131414, 6582.470272959226
52442.44284007139, 6850.267360609645
54325.987864583854, 7100.02567517692
56128.61687372349, 7330.897757522917
57986.68833784082, 7574.239595758604
59696.78838495687, 7795.184299629316
60951.46826618471, 7957.8445688977345
62377.13139418256, 8144.6314809763
64010.43614893086, 8353.902002842102
65793.58537659183, 8596.033185166169
67383.80984537772, 8800.3313702521
68831.14690606474, 8991.398815732467
70256.8100340626, 9175.072612609723
71716.1881684658, 9369.642312691562
73570.51352076032, 9603.904231590097
75593.4139050816, 9872.215848002954
77387.05224584645, 10107.294959641833
78964.91454561707, 10308.246545886357
79925.79719356087, 10437.029203730748
