1/f,r0
4950.703595936338, 409.9618794942671
6814.800838158044, 547.6249245670115
8266.151590083784, 664.8973973572411
9781.72140182925, 761.8787810709764
11265.181683664858, 872.8188864267322
12748.641965500465, 987.2258700748534
14232.102247336072, 1099.6517804130508
15715.562529171679, 1212.5729590787287
17199.022811007286, 1328.4657477092933
18682.483092842893, 1437.2266724241326
20165.9433746785, 1554.3081050406508
21649.4036565141, 1666.2387470513677
23132.863938349707, 1777.1788524071235
24616.324220185314, 1890.1000310727995
26099.78450202092, 2001.0401364285553
27583.244783856528, 2114.951851749196
29066.705065692135, 2226.882493759913
30550.16534752774, 2338.813135770628
32033.62562936335, 2452.7248510912705
33517.085911198956, 2565.6460297569465
35000.546193034555, 2676.5861351127023
36484.00647487016, 2791.488387088304
37967.46675670577, 2901.834170451082
39450.92703854138, 3015.3496711097378
40934.38732037698, 3129.2613864303785
42417.84760221259, 3241.1920284410953
43901.3078840482, 3353.1226704518103
45384.768165883805, 3467.034385772451
46868.22844771941, 3578.965027783168
48351.68872955502, 3691.8862064488476
49835.149011390626, 3805.7979217694883
51318.60929322623, 3916.7380271252423
52802.06957506184, 4029.65920579092
54285.52985689743, 4143.570921111561
55768.99013873304, 4254.511026467315
57252.450420568646, 4367.432205132995
58735.91070240425, 4481.343920453635
60219.37098423986, 4589.3124158445025
61702.83126607547, 4706.19574113003
63186.291547911074, 4819.116919795708
64669.75182974668, 4932.038098461388
66153.21211158228, 5048.921423746915
67636.67239341789, 5160.85206575763
69120.1326752535, 5274.763781078271
70603.5929570891, 5386.694423088988
72087.05323892471, 5498.625065099704
73570.51352076032, 5612.536780420345
75053.97380259592, 5725.953227413505
76537.43408443153, 5837.88386942422
78020.89436626714, 5952.290853072343
79756.91651411884, 6073.6913237515055
