1/f,r0
5042.487197566308, 561.3764722154156
6899.975591182098, 768.452555398002
8541.006683416606, 958.299902113391
10724.960359626704, 1186.09389626158
12403.999677801286, 1391.0350246261805
13962.382196093233, 1546.3838118009535
15445.84247792884, 1710.8128965246615
16929.302759764447, 1876.2325179033305
18412.763041600054, 2036.6994560071907
19896.22332343566, 2198.15693076601
21325.7395950227, 2358.12860054239
22863.143887106875, 2523.0529535935784
24346.604168942475, 2688.4725749722475
25830.06445077808, 2849.9300497310687
27313.52473261369, 3011.38752448989
28796.985014449296, 3177.797682523522
30280.445296284903, 3337.2740839724174
31763.90557812051, 3498.7315587312387
33247.36585995612, 3663.3587507859393
34730.826141791724, 3823.627581558805
36214.28642362733, 3987.0661296275503
37697.74670546293, 4150.504677696295
39181.20698729854, 4309.188649821224
40664.667269134145, 4475.400700523864
42148.12755096975, 4636.858175282683
43631.58783280536, 4799.306186696467
45115.048114640966, 4962.744734765212
46598.50839647657, 5124.202209524034
48081.96867831218, 5285.659684282853
49565.42896014779, 5451.079305661524
51048.889241983394, 5610.555707110421
52532.349523819, 5775.97532848909
54015.80980565461, 5937.432803247912
55499.270087490215, 6097.89974135177
56982.73036932581, 6263.319362730439
58466.190651161414, 6423.588193503305
59949.65093299702, 6587.2248489030435
61433.11121483263, 6750.66339697179
62916.571496668235, 6909.545476427708
64400.03177850384, 7077.540493109283
65883.49206033946, 7245.931724452836
67366.95234217506, 7404.41758924677
68850.41262401067, 7569.83721062544
70333.87290584628, 7731.294685384261
71817.33318768188, 7892.752160143083
73300.79346951749, 8056.190708211828
74784.2537513531, 8218.638719625611
76267.7140331887, 8380.09619438443
77751.17431502431, 8545.515815763101
79167.2045840492, 8698.45467528925
80240.72216649953, 8810.372771474882
