1/f,r0
4814.443329989972, 790.9238249594819
5533.6305947545625, 904.3602334301559
7118.235895806232, 1151.273105430484
8516.111930612868, 1370.55357574158
9418.636717463894, 1504.0584472360806
10641.454065165803, 1712.7358906879417
11485.684777103554, 1839.154644799988
12276.6318758255, 1993.115843188858
14097.242221714652, 2276.4093265080173
15850.422554793098, 2550.0175625342126
17603.602887871544, 2832.10038994175
19424.213233760696, 3125.2001861450353
21177.393566839135, 3408.493669464193
22930.57389991758, 3688.5183818219757
24683.754232996027, 3959.8263716160927
26436.934566074466, 4238.761493653419
28190.11489915291, 4522.054976972577
29943.295232231358, 4804.258869971278
31763.90557812051, 5097.237600583399
33517.085911198956, 5373.267148432835
35270.266244277394, 5644.45407263579
37090.87659016655, 5937.432803247912
38844.05692324499, 6219.636696246611
40597.23725632343, 6502.930179565769
42350.41758940188, 6786.223662884928
44103.59792248032, 7058.621242999504
45856.77825555877, 7333.1980037549965
47609.958588637215, 7616.491487074155
49363.13892171566, 7899.784970393313
51183.749267604806, 8192.884766596595
52936.92960068325, 8470.124970357654
54690.1099337617, 8741.311894560607
56510.72027965084, 9031.869313349489
58263.90061272929, 9315.162796668646
60017.080945807735, 9597.366689667348
61770.26127888618, 9880.660172986507
63523.44161196463, 10154.14734342154
65276.62194504307, 10443.978368663447
67029.8022781215, 10727.271851982607
68782.98261119996, 10997.490251456265
70536.16294427839, 11277.51496381405
72289.34327735685, 11560.808447133208
74042.52361043528, 11845.191520772823
75863.13395632443, 12135.991070744029
77616.31428940289, 12409.599306770226
79234.63459685992, 12660.205080475635
