r0,pm_w22
337.1272443341152,904.0175942607146
428.2790849258365,904.546708381666
519.440041471408,905.2078983067785
610.6064675892906,906.0017643484451
701.77350143743,906.92828767043
792.9520821604463,907.9890525735146
884.1306628834634,909.1887569660393
975.3153209090476,910.5188168580232
1066.5072716977122,911.9849062186054
1157.70043794689,913.5868648020717
1248.8984660381225,915.3261537335944
1340.1068255437187,917.2028504719161
1431.3121463980312,919.2171427059048
1522.5290141272214,921.3708596926258
1613.750135968209,923.6652008984945
1704.973688730223,926.1115600133842
1796.2087883671154,928.6897632022597
1887.4469266552912,931.4098172904008
1978.6862804039797,934.2741762370106
2069.937788757804,937.2846540568909
2140.4515149847484,939.7099549440486
2277.336475432069,944.6708076430864
2368.6031770423106,948.1844583102081
2459.869878652551,951.8293828033072
2551.1487348679275,955.6232752870951
2638.2847952116063,959.3911493557432
2721.2770265421495,963.1109838046696
2804.2712633825395,966.9598887693735
2887.2701797459076,970.9398504839176
2970.272438625687,975.0701892916684
3049.1309427704737,979.1067127122942
3123.8421268294296,983.0412760541179
3198.554053669811,987.0891242270985
3269.1209816163137,991.0112183872347
3335.5479244435555,994.7995323989119
3401.9723603834873,998.6740626601102
3468.3984675816255,1002.6383599007979
3534.8312598125885,1006.6997769641567
3601.265723301757,1010.848281843885
