1/f,r0
5735.920633186692, 542.3098225543818
7219.380915022295, 661.8345789198047
8702.841196857902, 795.5570273396879
10186.30147869351, 901.2142705356437
11669.761760529116, 1025.097388182905
13153.222042364723, 1144.721198213827
14636.68232420033, 1223.468862283311
16120.142606035937, 1339.3616509138774
17603.602887871544, 1455.2544395444438
19087.063169707144, 1573.1283014849305
20570.52345154275, 1688.030553460534
22053.983733378358, 1804.9138787460615
23537.444015213965, 1924.768813996474
25020.904297049572, 2047.595359211773
26504.36457888518, 2167.4502944621872
27987.824860720786, 2287.3052297125996
29471.285142556393, 2407.160164963012
30954.745424391993, 2526.024563558465
32438.2057062276, 2645.8794988088775
33921.66598806321, 2761.772287439442
35405.126269898814, 2886.579905964665
36888.58655173442, 3006.4348412150794
38372.04683357003, 3124.308703155568
39855.50711540563, 3248.12578502583
41338.967397241235, 3371.94286689609
42822.42767907684, 3490.807265491543
44305.88796091245, 3611.6527373969166
45789.348242748056, 3730.5171359923697
47272.80852458366, 3851.362607897743
48756.26880641927, 3969.731738165714
50239.72908825488, 4091.567746726052
51723.189370090484, 4209.936876994023
53206.64965192609, 4331.772885554359
54690.1099337617, 4449.646747494848
56173.570215597305, 4570.492219400223
57657.03049743291, 4689.356617995674
59140.49077926852, 4810.2020899010495
60623.951061104126, 4929.066488496501
62107.41134293973, 5049.911960401876
63590.871624775325, 5169.766895652288
65074.33190661093, 5297.5461241424
66557.79218844653, 5420.372669357699
68041.25247028214, 5536.265457988264
69524.71275211775, 5660.082539858526
71008.17303395335, 5777.956401799014
72491.63331578896, 5902.764020324239
73975.09359762457, 6018.656808954804
75458.55387946017, 6138.511744205216
76942.01416129578, 6258.36667945563
78425.47444313139, 6376.735809723599
79369.49462248132, 6456.531390578283
