1/f,r0
4959.134830233295, 703.6038125692558
7023.833877871242, 977.947135880524
8519.816876371697, 1176.5197832587146
9538.997800713652, 1305.3782500803336
10680.78823930538, 1459.2165861642898
12029.388495519568, 1643.7205470952304
13827.522170471813, 1886.1378844529536
15715.562529171679, 2135.753121503398
17199.022811007286, 2327.9172325660456
18682.483092842893, 2522.0624169386156
20165.9433746785, 2719.179211276074
21649.4036565141, 2918.277078923453
23132.863938349707, 3112.4222632960227
24616.324220185314, 3306.5674476685926
26099.78450202092, 3502.6937053510865
27583.244783856528, 3701.791572998469
29066.705065692135, 3894.946220716076
30550.16534752774, 4093.0535517084954
32033.62562936335, 4290.170346045952
33517.085911198956, 4486.296603728446
35000.546193034555, 4684.403934720864
36484.00647487016, 4882.511265713281
37967.46675670577, 5078.637523395777
39450.92703854138, 5276.744854388195
40934.38732037698, 5479.804868655425
42417.84760221259, 5670.978443063108
43901.3078840482, 5869.0857740555275
45384.768165883805, 6067.193105047945
46868.22844771941, 6263.913684723417
48351.68872955502, 6461.4266937228585
49835.149011390626, 6657.552951405353
51318.60929322623, 6855.660282397771
52802.06957506184, 7052.777076735228
54285.52985689743, 7249.893871072684
55768.99013873304, 7448.001202065102
57252.450420568646, 7646.1085330575215
58735.91070240425, 7842.234790740016
60219.37098423986, 8040.342121732434
61702.83126607547, 8238.449452724852
63186.291547911074, 8434.575710407345
64669.75182974668, 8636.645188019615
66153.21211158228, 8836.733592321958
67636.67239341789, 9034.840923314376
69120.1326752535, 9232.948254306793
70603.5929570891, 9429.470726651272
72087.05323892471, 9625.49793066827
73570.51352076032, 9825.487281305117
75053.97380259592, 10021.41543165662
76537.43408443153, 10219.522762649038
78020.89436626714, 10418.620630296418
79234.63459685992, 10577.531010799623
