r0,pm_cle15,pc_cle15
330.76208020196077,954.9727593475237,896.212119140625
421.87867243879214,954.4471765186688,895.618779296875
512.9934414848528,953.8897463339397,894.9862109375
604.1076028006571,953.3013351502188,894.315693359375
695.2223718467183,952.6835902524602,893.60939453125
786.337140892779,952.0462049788957,892.876875
877.452517669097,950.7934472847502,892.112685546875
968.5666789849016,950.107981621636,891.321259765625
1059.6759784586525,949.4021022360815,890.503583984375
1150.7852779324023,948.6780314808235,889.662080078125
1241.8945774061533,947.9359589752484,888.796982421875
1333.006307800931,947.1797313071605,887.911923828125
1424.1192536562214,946.4044859190493,887.002490234375
1515.227945399715,945.6120136573448,886.07048828125
1606.3342062221825,944.807199185306,885.120576171875
1697.4398593143922,943.3951459565266,884.15296875
1788.547335597373,942.5602106977566,883.163603515625
1879.6542041500963,941.7135021662444,882.156962890625
1970.760464972564,940.8515311323483,881.12984375
2061.8649026042604,939.9799588638502,880.08748046875
2132.2634639475564,939.296816092055,879.268779296875
2285.484112407189,937.789783661364,877.45521484375
2376.587942308629,936.274117925337,876.352021484375
2467.691164479812,935.3508608851355,875.235537109375
2558.794994381252,934.4219996629749,874.10294921875
2649.898216552436,933.4783565329152,872.954755859375
2741.001438723619,932.523446305027,871.78994140625
2832.104053164546,931.5574524176343,870.608564453125
2923.207275335729,930.2519313449353,869.122666015625
3014.309889776656,929.1755747411886,868.206162109375
3105.411896487325,928.059855278819,866.98162109375
3196.513903197995,926.9347168169676,865.7427734375
3287.6153021784085,925.8029690359732,864.491865234375
3378.7173088890786,924.6588082420113,863.224033203125
3469.818100139235,923.5586906562551,861.9349609375
3560.9188913893913,922.4095522770943,860.65005859375
3652.020290369804,921.2421753176795,859.343203125
3743.121081619961,920.0652912260618,858.021962890625
3834.220657409603,918.8819138668867,856.68888671875
3925.32144865976,917.6256819587511,855.3402734375
4016.4204167191465,916.4236621580337,853.97876953125
4107.520600239047,915.2150883209621,852.605302734375
4198.618960568177,913.9971678174747,851.217548828125
4289.717928627561,912.772781599594,849.81806640625
4380.818112147462,911.5418461382438,848.406484375
4471.9164724765915,910.2376837981454,846.98015625
4563.014225075464,908.9914430630955,845.54302734375
4654.112585404594,907.7361424104056,844.09197265625
4745.210338003467,906.4744632631574,842.6291015625
4836.308698332597,905.1408863251239,841.15302734375
4927.4064509314685,903.864257857093,839.6649609375
4985.376422082919,903.002878863975,838.712578125
