1/f,r0
5074.662932692481, 381.8112767516632
7138.464899649451, 529.3595648057562
8567.981171236483, 625.9914484155088
10051.44145307209, 734.9504804613352
11534.901734907697, 828.962474853648
13018.362016743304, 935.9404335895542
14501.82229857891, 1032.9240379467465
15985.282580414518, 1119.4625135122915
17468.742862250125, 1227.4310089031605
18952.20314408573, 1331.43735767418
20435.66342592133, 1434.4531697902385
21919.12370775694, 1538.459518561258
23402.583989592546, 1640.4847940223535
24886.044271428153, 1744.491142793373
26369.50455326376, 1845.5258815995076
27852.964835099367, 1949.5322303705252
29336.425116934974, 2052.5480424865837
30819.88539877058, 2155.563854602642
32303.34568060618, 2260.890918913612
33786.80596244179, 2361.5954788347553
35212.46909043964, 2458.5265657846194
36753.726526113, 2570.9949276937405
38237.18680794861, 2670.6429151829307
39720.647089784215, 2772.6681906440244
41204.10737161982, 2871.721856140235
42687.56765345543, 2978.6998148761413
44171.02793529104, 3080.725090337235
45654.48821712664, 3183.7409024532935
47137.94849896225, 3286.756714569352
48621.40878079786, 3387.7914533754847
50104.869062633465, 3490.807265491543
51588.32934446906, 3594.8136142625626
53071.789626304664, 3697.8294263786192
54555.24990814027, 3799.8547018397167
56038.71018997588, 3902.8705139557733
57522.170471811485, 4006.8768627267928
59005.63075364709, 4107.9116015329255
60489.0910354827, 4211.917950303945
61972.551317318306, 4314.933762420003
63456.01159915391, 4418.940111191023
64939.47188098952, 4523.936996617005
66422.93216282513, 4627.943345388025
67906.39244466074, 4730.959157504081
69389.85272649635, 4833.97496962014
70873.31300833196, 4936.330423966223
72356.77329016756, 5041.822577719686
73840.23357200317, 5142.03186931335
75323.69385383878, 5245.047681429409
76807.15413567435, 5347.072956890504
78290.61441750996, 5451.079305661524
79369.49462248132, 5525.567662114674
