r0,wpbl
254.60368775745042, 6926.4689936023315
367.30352641430613, 6874.179206978395
480.0033650711623, 6806.94948131905
592.703203728018, 6709.839877588885
705.4030423848742, 6601.525319582164
818.1028810417299, 6463.330883504619
930.8027196985856, 6313.931493150521
1043.5025583554418, 6142.122194243304
1156.2023970122975, 5955.372956300678
1268.9022356691532, 5742.478825046084
1381.6020743260094, 5514.644754756082
1494.3019129828651, 5275.60573018952
1607.0017516397213, 4995.481873275581
1719.701590296577, 4707.888046843935
1832.4014289534327, 4394.149327100327
1945.101267610289, 4061.7356835624523
2057.801106267145, 3710.647116230317
2170.5009449240006, 3344.6186098627695
2296.861370084718, 2896.4204388004655
2395.900622237713, 2549.066856227182
2508.6004608945686, 2115.80862420029
2621.3002995514244, 1663.8754683791376
2734.00013820828, 1204.472343040281
2846.699976865136, 707.7193701128926
2959.3998155219924, 210.96639718550796
3072.099654178848, -315.66645381269336
3184.799492835704, -849.7692743286025
3297.4993314925596, -1417.4869576741876
3410.1991701494153, -2000.144580055181
3522.899008806271, -2601.4771262304384
3635.5988474631276, -3228.9545657176604
3748.2986861199834, -3867.6369594814387
3860.998524776839, -4539.934216074893
3973.698363433695, -5215.966457427199
4086.3982020905505, -5914.408607332622
4199.098040747407, -6627.790696273452
4311.797879404263, -7359.84770900854
4424.497718061119, -8103.1096760201945
4537.197556717974, -8876.251521102662
4649.89739537483, -9656.863335702838
4762.597234031687, -10467.355028373837
4875.297072688542, -11311.461583874509
4962.383311650658, -11935.204038602875
