r0,qgibbs
254.60368775745042, 2896.4204388004655
367.30352641430613, 2896.4204388004655
480.0033650711623, 2896.4204388004655
592.703203728018, 2896.4204388004655
705.4030423848742, 2896.4204388004655
818.1028810417299, 2896.4204388004655
930.8027196985856, 2896.4204388004655
1043.5025583554418, 2896.4204388004655
1156.2023970122975, 2896.4204388004655
1268.9022356691532, 2896.4204388004655
1381.6020743260094, 2896.4204388004655
1494.3019129828651, 2903.8904083181696
1607.0017516397213, 2896.4204388004655
1719.701590296577, 2896.4204388004655
1832.4014289534327, 2851.600621694237
1945.101267610289, 2784.370896034892
2057.801106267145, 2820.475748703797
2170.5009449240006, 2890.195464202381
2283.2007835808563, 2932.5252914693738
2395.900622237713, 3004.1124993473823
2506.0391009250943, 2959.188932664514
2621.3002995514244, 2896.4204388004655
2734.00013820828, 2896.4204388004655
2846.699976865136, 2896.4204388004655
2959.3998155219924, 2896.4204388004655
3072.099654178848, 2896.4204388004655
3184.799492835704, 2896.4204388004655
3297.4993314925596, 2896.4204388004655
3410.1991701494153, 2896.4204388004655
3522.899008806271, 2896.4204388004655
3635.5988474631276, 2896.4204388004655
3748.2986861199834, 2896.4204388004655
3860.998524776839, 2896.4204388004655
3973.698363433695, 2896.4204388004655
4086.3982020905505, 2896.4204388004655
4199.098040747407, 2896.4204388004655
4311.797879404263, 2896.4204388004655
4424.497718061119, 2896.4204388004655
4537.197556717974, 2896.4204388004655
4649.89739537483, 2896.4204388004655
4762.597234031687, 2896.4204388004655
4875.297072688542, 2896.4204388004655
4962.383311650658, 2896.4204388004655
