r0,wpbl-surplus
213.24636226793768, 5030.181086519115
303.5624686402409, 4989.939637826959
373.8083291520318, 4869.215291750501
464.124435524335, 4869.215291750501
554.4405418966383, 4728.370221327965
634.7215253386855, 4647.887323943662
725.0376317109888, 4386.317907444671
825.3888610135471, 4225.352112676057
965.8805820371301, 3983.9034205231364
1116.4074259909687, 3581.4889336016095
1256.8991470145509, 3239.4366197183117
1387.3557451078775, 2897.3843058350103
1507.7772202709482, 2555.331991951709
1618.163572503763, 2273.6418511066368
1738.5850476668336, 1810.865191146877
1848.9713998996488, 1428.5714285714275
1969.3928750627194, 1006.0362173038229
2079.779227295534, 563.380281690137
2200.2007024586055, 60.36217303822923
2303.0607124937287, -382.29376257545664
2388.3592574009035, -824.9496981891352
2491.2192674360267, -1307.8470824949727
2601.6056196688414, -1810.8651911468842
2691.921726041144, -2293.762575452718
2842.448569994983, -3038.2293762575464
2962.8700451580535, -3742.454728370223
3093.32664325138, -4426.559356136826
3276.467636728551, -5472.837022132797
3394.3803311590573, -6177.062374245474
3524.836929252384, -6961.770623742457
3675.3637732062225, -8008.048289738428
3815.855494229805, -8953.72233400403
3956.347215253387, -9899.396378269623
4116.909182137481, -11046.277665995978
4287.506271951832, -12334.004024144873
4397.892624184647, -13179.074446680082
4548.419468138485, -14406.438631790748
4698.946312092323, -15573.440643863178
4829.40291018565, -16659.959758551304
4919.719016557954, -17404.426559356136
5000, -18128.7726358149
