r0,pm_cle15,pc_cle15
239.6454879651294,957.1743475817843,903.3877014066076
330.76208020196077,956.7132881600166,902.8996913895509
421.87867243879214,956.2180072973273,902.3721009044843
512.9934414848528,955.6929882414898,901.8098554641857
604.1076028006571,955.1391527578802,901.2143454268497
695.2223718467183,954.5580251058045,900.587393829139
786.337140892779,953.9587797753599,899.937725207571
877.452517669097,952.7820646694421,899.2604196763563
968.5666789849016,952.1388315606833,898.5594725703667
1059.6759784586525,951.4768867939471,897.8359131962237
1150.7852779324023,950.7983883342595,897.0918364787177
1241.8945774061533,950.1035238556925,896.3275288951482
1333.006307800931,949.3958937156048,895.5463141823357
1424.1192536562214,948.6710417589132,894.7442995183702
1515.227945399715,947.9306502884563,893.9231014338984
1606.3342062221825,947.1792996604759,893.0868487383528
1697.4398593143922,945.8625229583834,892.2359193261422
1788.547335597373,945.0847702850905,891.3666117104098
1879.6542041500963,944.2967194842054,890.4830151892061
1970.760464972564,943.495121986854,889.5823414940859
2061.8649026042604,942.685269989074,888.6692416484977
2132.2634639475564,942.05108036115,887.9527973450671
2285.484112407189,940.6533765643144,886.367610045057
2376.587942308629,939.2497577250305,885.4047429707655
2467.691164479812,938.3958270041206,884.4313817303974
2558.794994381252,937.5374519377574,883.4450700521941
2649.898216552436,936.6661785015415,882.4462000130038
2741.001438723619,935.7854404819548,881.4340857773005
2832.104053164546,934.8952332765895,880.4087623958778
2923.207275335729,933.6935370599042,879.1208759295313
3014.309889776656,932.7039089469275,878.3273899225854
3105.411896487325,931.6792375016614,877.2684444925628
3196.513903197995,930.6470087584438,876.1982869810149
3287.6153021784085,929.609903452968,875.1191268237749
3378.7173088890786,928.5625558443982,874.0266390536117
3469.818100139235,927.5566642573909,872.9173161954375
3560.9188913893913,926.5071601679492,871.8130000669853
3652.020290369804,925.4421878332264,870.6912733158689
3743.121081619961,924.3697767616508,869.5586219292346
3834.220657409603,923.2926272555467,868.4172104433222
3925.32144865976,922.1506273374035,867.2641793385206
4016.4204167191465,921.0592248914284,866.1016274444876
4107.520600239047,919.9631735435102,864.9304546091604
4198.618960568177,918.8599414932011,863.7487361830582
4289.717928627561,917.7521747174512,862.5585315067879
4380.818112147462,916.6398908727809,861.3598634756179
4471.9164724765915,915.4628157134015,860.1501635906294
4563.014225075464,914.3395403262003,858.9332482434708
4654.112585404594,913.2093693762697,857.7061644804634
4745.210338003467,912.0749609135466,856.4709417275025
4836.308698332597,910.8773447167038,855.2262358374003
4927.4064509314685,909.7323838480611,853.9733299960492
4985.376422082919,908.960766129791,853.1724406585662
